Origin,Destination,Flight Time
ORD,DTW,80
ORD,MSP,90
ORD,STL,80
ORD,PHL,115
ORD,DEN,165
ORD,BWI,110
ORD,JFK,135
ORD,ATL,120
ORD,EWR,125
ORD,LAX,265
ATL,TPA,85
ATL,PHL,120
ATL,EWR,135
ATL,FLL,110
ATL,MIA,110
ATL,MCO,90
ATL,BWI,105
ATL,ORD,120
ATL,IAH,140
ATL,LAX,300
DEN,SLC,95
DEN,STL,120
DEN,MSP,115
DEN,SFO,170
DEN,ORD,150
DEN,SEA,185
DEN,DFW,120
DEN,LAX,165
DFW,SLC,180
DFW,STL,100
DFW,DEN,130
DFW,IAH,70
DFW,TPA,135
DFW,PHX,160
DFW,LAX,210
DFW,MSP,140
LAX,HNL,360
LAX,SAN,55
LAX,SFO,85
LAX,SEA,180
LAX,LAS,70
LAX,DEN,145
LAX,DFW,180
LAX,JFK,315
LAX,ORD,245
LAX,ATL,250
CLT,TPA,100
CLT,PHL,100
CLT,EWR,115
CLT,BWI,85
CLT,MCO,110
LAS,HNL,390
LAS,SAN,80
LAS,SFO,100
LAS,PHX,70
LAS,LAX,75
PHX,SAN,75
PHX,SLC,105
PHX,SFO,130
PHX,LAS,75
PHX,DFW,135
MCO,ATL,90
MCO,MIA,80
MCO,IAH,160
MCO,CLT,105
MCO,FLL,70
SEA,HNL,380
SEA,SLC,120
SEA,SFO,130
SEA,LAX,160
SEA,DEN,155
MIA,TPA,60
MIA,EWR,180
MIA,ATL,120
MIA,MCO,75
MIA,JFK,170
IAH,TPA,120
IAH,DFW,80
IAH,MCO,140
IAH,ATL,115
IAH,FLL,150
JFK,DTW,130
JFK,BWI,80
JFK,ORD,170
JFK,LAX,390
JFK,MIA,190
FLL,EWR,175
FLL,ATL,115
FLL,PHL,160
FLL,IAH,175
FLL,MCO,70
SFO,HNL,340
SFO,SAN,90
SFO,SLC,110
SFO,LAX,85
SFO,SEA,130
SFO,LAS,90
SFO,DEN,150
SFO,PHX,120
EWR,ATL,150
EWR,MIA,190
EWR,FLL,180
EWR,CLT,125
EWR,ORD,160
MSP,ORD,90
MSP,STL,90
MSP,DEN,140
MSP,DTW,100
MSP,DFW,160
TPA,MIA,60
TPA,IAH,150
TPA,CLT,100
TPA,ATL,100
TPA,DFW,170
DTW,ORD,85
DTW,STL,100
DTW,BWI,90
DTW,JFK,105
DTW,PHL,100
PHL,CLT,115
PHL,ATL,140
PHL,ORD,145
PHL,FLL,170
PHL,DTW,105
STL,DEN,150
STL,MSP,95
STL,ORD,85
STL,DFW,130
STL,DTW,90
BWI,DTW,95
BWI,JFK,75
BWI,ORD,130
BWI,CLT,95
BWI,ATL,120
HNL,LAX,320
HNL,SFO,310
HNL,SAN,330
HNL,LAS,345
HNL,SEA,340
SAN,HNL,375
SAN,LAX,60
SAN,SFO,95
SAN,LAS,75
SAN,PHX,85
SLC,DEN,90
SLC,SEA,140
SLC,SFO,130
SLC,PHX,105
SLC,DFW,155
